24,pastel,44
16,pizza,16
26,sushi,37
11,acai,31
17,pastel,40
3,acai,15
24,esfirra,21
8,pizza,35
19,sushi,8
10,hamburguer,50
17,pizza,37
21,pastel,44
13,esfirra,45
29,pastel,14
6,churrasco,36
12,hamburguer,27
27,prato_feito,21
26,sushi,12
6,pastel,37
18,acai,43
24,sushi,16
14,hamburguer,5
14,sushi,32
17,prato_feito,41
23,hamburguer,6
25,sushi,5
20,churrasco,44
28,hamburguer,34
19,sushi,15
24,sushi,20
2,esfirra,25
14,pastel,34
24,pizza,30
28,acai,41
10,pastel,33
1,esfirra,30
6,pastel,29
8,prato_feito,15
9,hamburguer,11
4,churrasco,22
8,pizza,8
29,hamburguer,31
13,prato_feito,18
2,hamburguer,49
12,esfirra,16
3,hamburguer,31
14,churrasco,46
14,pastel,6
20,esfirra,18
25,sushi,13
22,churrasco,38
12,sushi,13
26,churrasco,15
6,hamburguer,15
29,churrasco,12
6,esfirra,11
26,esfirra,5
19,hamburguer,34
4,prato_feito,50
22,hamburguer,32
29,pastel,9
7,hamburguer,42
8,pastel,5
13,acai,38
8,sushi,15
16,acai,22
3,pizza,28
13,esfirra,28
29,prato_feito,45
7,sushi,49
1,acai,39
17,pastel,25
5,pastel,42
13,prato_feito,13
30,esfirra,39
22,churrasco,14
2,hamburguer,20
12,prato_feito,50
26,esfirra,31
15,esfirra,29
19,sushi,21
28,churrasco,43
6,esfirra,39
14,pizza,37
6,hamburguer,45
10,hamburguer,37
3,churrasco,6
23,sushi,13
8,hamburguer,45
15,prato_feito,42
2,hamburguer,21
24,prato_feito,16
17,churrasco,30
5,sushi,22
3,esfirra,9
3,churrasco,21
13,prato_feito,35
19,prato_feito,9
23,churrasco,24
30,prato_feito,13
18,pizza,39
20,esfirra,26
7,acai,32
13,pizza,19
24,sushi,48
11,hamburguer,24
6,pastel,9
24,acai,18
18,esfirra,28
21,esfirra,11
29,prato_feito,16
4,pizza,29
5,prato_feito,22
29,pastel,31
28,hamburguer,26
28,pastel,15
2,pizza,45
16,esfirra,8
12,acai,47
7,pastel,44
30,sushi,43
18,pastel,10
28,acai,47
25,hamburguer,40
15,pastel,46
4,pizza,17
6,esfirra,31
17,sushi,41
6,churrasco,43
28,sushi,24
19,churrasco,18
28,prato_feito,9
5,acai,12
27,hamburguer,36
30,sushi,33
9,pastel,8
23,sushi,42
17,prato_feito,29
4,esfirra,11
9,prato_feito,26
25,prato_feito,48
8,acai,24
19,esfirra,6
13,churrasco,31
1,esfirra,24
16,esfirra,35
16,pastel,24
10,hamburguer,50
10,prato_feito,17
11,sushi,24
4,acai,8
23,churrasco,49
6,pastel,19
6,sushi,49
2,prato_feito,49
13,churrasco,47
4,sushi,33
25,sushi,32
20,sushi,12
10,pizza,23
8,prato_feito,16
18,hamburguer,25
13,prato_feito,28
16,esfirra,47
27,prato_feito,16
13,esfirra,43
24,prato_feito,42
18,sushi,47
15,prato_feito,14
20,churrasco,8
20,acai,22
5,pastel,31
17,esfirra,39
3,sushi,28
23,esfirra,7
24,hamburguer,12
17,pizza,21
21,churrasco,34
17,acai,35
11,hamburguer,32
23,prato_feito,11
9,sushi,15
9,hamburguer,39
29,pastel,12
29,esfirra,48
10,prato_feito,6
10,churrasco,20
6,pizza,39
16,churrasco,21
8,acai,9
13,pastel,13
29,sushi,47
12,esfirra,17
26,pizza,32
18,pastel,38
28,sushi,50
14,churrasco,29
26,sushi,24
23,prato_feito,46
9,acai,39
2,pastel,32
27,pastel,20
23,hamburguer,14
25,pastel,31
26,hamburguer,37
12,esfirra,26
19,prato_feito,30
29,prato_feito,37
6,sushi,27
8,prato_feito,41
20,acai,48
26,pizza,30
20,pastel,34
4,hamburguer,16
7,hamburguer,24
27,acai,33
11,esfirra,43
24,hamburguer,25
22,sushi,11
22,pastel,30
7,hamburguer,29
2,prato_feito,49
29,churrasco,17
25,esfirra,25
30,pizza,26
10,hamburguer,14
30,prato_feito,5
14,hamburguer,35
11,hamburguer,16
30,churrasco,31
15,prato_feito,6
9,churrasco,46
3,churrasco,37
30,prato_feito,41
28,acai,9
16,churrasco,25
4,esfirra,21
27,pizza,7
5,hamburguer,7
20,churrasco,46
18,esfirra,41
14,hamburguer,45
29,churrasco,31
10,sushi,21
29,acai,24
11,pastel,29
19,pastel,23
9,churrasco,43
10,prato_feito,20
17,pastel,18
26,pizza,32
2,acai,26
11,acai,30
21,churrasco,47
26,prato_feito,43
4,pizza,45
30,pastel,24
6,prato_feito,33
3,prato_feito,40
11,pastel,29
5,pastel,12
13,acai,11
15,sushi,38
27,churrasco,9
8,pizza,23
13,prato_feito,17
22,hamburguer,19
8,prato_feito,5
12,pastel,16
6,pastel,24
18,pizza,42
12,churrasco,27
13,pizza,14
25,esfirra,15
7,hamburguer,45
3,hamburguer,43
5,sushi,25
3,prato_feito,23
20,pizza,19
13,esfirra,30
29,pizza,25
3,esfirra,19
6,churrasco,27
14,sushi,11
10,sushi,30
10,sushi,44
3,churrasco,34
28,esfirra,11
4,pastel,36
6,pastel,34
2,esfirra,31
20,churrasco,23
13,churrasco,31
20,acai,26
25,hamburguer,44
3,pizza,10
19,acai,28
24,prato_feito,10
20,acai,6
14,hamburguer,11
20,esfirra,42
4,pizza,42
21,pastel,20
14,acai,18
13,prato_feito,16
5,acai,49
4,hamburguer,35
30,sushi,48
22,sushi,17
27,esfirra,20
11,esfirra,41
4,hamburguer,49
25,churrasco,18
9,pizza,38
10,pastel,48
26,churrasco,20
11,sushi,22
6,acai,37
11,sushi,25
14,pizza,14
20,sushi,50
1,esfirra,39
6,churrasco,28
12,pastel,13
7,sushi,48
30,pizza,38
30,pastel,35
21,sushi,41
21,pizza,14
4,acai,20
18,acai,40
11,prato_feito,22
15,pastel,42
21,hamburguer,21
